,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z
0,Slate,#7e6c87,126,108,135,48.1464,11.0555,-24.1195,0.5751,0.553,0.6736
1,SlateBlack,#252e3f,37,46,63,18.8266,0.5303,-18.9561,0.3013,0.3002,0.395
2,BrownishGrey,#c0a094,192,160,148,68.3774,8.1326,-2.399,0.7437,0.7274,0.7394
3,GreenishGrey,#bab7ad,186,183,173,74.396,-2.5892,-9.1169,0.7741,0.7793,0.8249
4,OliveGrey,#827057,130,112,87,48.2881,1.7187,7.387,0.5576,0.5542,0.5173
5,Grey,#ac8dac,172,141,172,62.3376,15.5261,-26.1052,0.7064,0.6753,0.8059
6,GreyBlack,#2f2c39,47,44,57,18.8047,3.8749,-14.3692,0.3078,0.3,0.3719
7,Black,#202831,32,40,49,15.7289,-1.5035,-12.9916,0.2705,0.2735,0.3385
8,Stone,#ffde7a,255,222,122,89.3497,-2.8529,40.2797,0.9025,0.9082,0.7068
9,BlackishBrown,#543b38,84,59,56,27.5683,9.6113,-0.4509,0.3948,0.3756,0.3778
10,Agate,#4b3437,75,52,55,24.4104,9.9953,-4.3073,0.3684,0.3484,0.3699
11,BrownishBlack,#493339,73,51,57,23.9325,10.1342,-6.4975,0.3645,0.3442,0.3767
12,VioletGrey,#a06e96,160,110,150,52.7602,24.8891,-26.5708,0.6425,0.5928,0.7256
13,LavenderGrey,#c295c6,194,149,198,67.3081,23.4758,-34.4941,0.7651,0.7182,0.8906
14,BluishGrey,#b5abc2,181,171,194,71.4494,6.1208,-26.0449,0.7661,0.7539,0.8841
15,GreenishSlate,#837896,131,120,150,52.3536,8.9529,-27.486,0.6072,0.5893,0.7267
16,OliveSepia,#956529,149,101,41,46.7863,12.1807,33.9053,0.5656,0.5413,0.3717
17,BistreBrown,#7c4b27,124,75,39,36.8622,16.0658,23.7568,0.4878,0.4557,0.3369
18,Sepia,#654132,101,65,50,31.2952,12.6883,9.1527,0.4331,0.4077,0.362
19,GreyBrown,#c88976,200,137,118,62.9097,20.0257,8.6765,0.7203,0.6803,0.6369
20,Drab,#ab7e54,171,126,84,56.3071,10.7584,20.379,0.6449,0.6233,0.5214
21,OliveBrown,#815836,129,88,54,41.0774,11.7279,19.3695,0.5155,0.492,0.3952
22,Bistre,#b68222,182,130,34,58.0615,10.1415,48.7002,0.6587,0.6385,0.395
