,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,munsell
0,Slate,#7e6c87,126,108,135,48.148,11.05,-24.12,0.5751,0.553,0.6736,0.3192,0.3069,0.553,
1,SlateBlack,#252e3f,37,46,63,18.8348,0.5,-18.94,0.3013,0.3003,0.395,0.3023,0.3013,0.3003,
2,BrownishGrey,#c0a094,192,160,148,68.3784,8.15,-2.4,0.7437,0.7274,0.7394,0.3364,0.3291,0.7274,
3,GreenishGrey,#bab7ad,186,183,173,74.3988,-2.6,-9.12,0.7741,0.7793,0.8249,0.3255,0.3277,0.7793,
4,OliveGrey,#827057,130,112,87,48.2872,1.75,7.38,0.5577,0.5542,0.5173,0.3423,0.3402,0.5542,
5,Grey,#ac8dac,172,141,172,62.3464,15.5,-26.1,0.7064,0.6754,0.8059,0.3229,0.3087,0.6754,
6,GreyBlack,#2f2c39,47,44,57,18.8116,3.85,-14.36,0.3078,0.3001,0.3719,0.3141,0.3063,0.3001,
7,Black,#202831,32,40,49,15.7376,-1.5,-12.98,0.2706,0.2736,0.3385,0.3066,0.31,0.2736,
8,Stone,#ffde7a,255,222,122,89.3512,-2.85,40.28,0.9025,0.9082,0.7068,0.3585,0.3608,0.9082,
9,BlackishBrown,#543b38,84,59,56,27.5696,9.6,-0.46,0.3948,0.3756,0.3779,0.3438,0.3271,0.3756,
10,Agate,#4b3437,75,52,55,24.4144,10.0,-4.3,0.3684,0.3484,0.3699,0.339,0.3206,0.3484,
11,BrownishBlack,#493339,73,51,57,23.9388,10.15,-6.5,0.3646,0.3443,0.3768,0.3358,0.3171,0.3443,
12,VioletGrey,#a06e96,160,110,150,52.7648,24.9,-26.56,0.6426,0.5928,0.7256,0.3277,0.3023,0.5928,
13,LavenderGrey,#c295c6,194,149,198,67.3112,23.45,-34.5,0.7651,0.7182,0.8907,0.3223,0.3025,0.7182,
14,BluishGrey,#b5abc2,181,171,194,71.4524,6.1,-26.04,0.7661,0.7539,0.8841,0.3187,0.3136,0.7539,
15,GreenishSlate,#837896,131,120,150,52.3588,8.95,-27.48,0.6072,0.5893,0.7267,0.3157,0.3064,0.5893,
16,OliveSepia,#956529,149,101,41,46.7908,12.2,33.9,0.5657,0.5413,0.3718,0.3825,0.366,0.5413,
17,BistreBrown,#7c4b27,124,75,39,36.8612,16.1,23.74,0.4879,0.4557,0.337,0.381,0.3558,0.4557,
18,Sepia,#654132,101,65,50,31.3048,12.65,9.16,0.4331,0.4078,0.362,0.36,0.339,0.4078,
19,GreyBrown,#c88976,200,137,118,62.9148,20.0,8.68,0.7203,0.6803,0.6369,0.3535,0.3339,0.6803,
20,Drab,#ab7e54,171,126,84,56.3144,10.75,20.38,0.6449,0.6234,0.5215,0.3603,0.3483,0.6234,
