SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
A1,4.07,3.43,2.55,21.69,11.68,2.2,11.88,10.66,1.26,1.58,1.48,1.43,0.02,0.02,0.05,0.33,0.38,27.0802,17.3139,21.9005,0.569343,0.681287,0.787539
A2,4.89,3.32,2.14,21.27,24.4,5.03,24.91,11.65,1.13,1.77,1.56,1.41,0.04,0.03,0.02,0.18,0.22,32.2706,15.2701,20.4958,0.567176,0.637381,0.710211
A3,5.65,3.19,1.74,20.78,35.65,8.13,36.56,12.84,1.04,2.03,1.66,1.39,0.05,0.02,0.03,0.24,0.27,37.2662,13.339,18.8626,0.500217,0.64741,0.708703
A4,6.19,3.45,1.88,21.76,37.43,8.38,38.36,12.61,1,2.02,1.63,1.35,0.06,0.03,0.04,0.43,0.5,39.1775,13.1113,19.1865,0.486455,0.77816,0.736151
A5,14.1,12.25,9.25,41.61,15.1,2.89,15.38,10.83,0.74,1,0.94,0.88,0.09,0.07,0.14,0.36,0.43,47.3716,28.9679,34.4732,0.536691,0.561925,0.595566
A6,16.42,12.3,8.16,41.68,28.52,6.95,29.35,13.7,0.63,1.1,0.99,0.86,0.09,0.09,0.07,0.4,0.48,56.8403,26.6858,33.3552,0.509035,0.469755,0.560881
A7,18.75,12.1,7.09,41.38,42.34,10.67,43.66,14.15,0.55,1.24,1.06,0.83,0.06,0.04,0.08,0.3,0.39,66.2385,23.5832,32.0456,0.550409,0.501558,0.576404
A8,21.47,11.53,5.82,40.46,59.7,14.7,61.48,13.83,0.49,1.53,1.15,0.82,0.07,0.06,0.05,0.2,0.24,76.1165,20.4317,31.4751,0.587002,0.699515,0.779318
A9,44.76,44.23,35.78,72.38,6.16,1.02,6.25,9.36,0.3,0.37,0.36,0.35,0.28,0.27,0.16,0.25,0.29,79.9575,65.5112,68.3899,0.808143,0.604024,0.709469
A10,46.93,43.84,34.44,72.12,13.47,2.47,13.69,10.4,0.26,0.4,0.38,0.34,0.2,0.21,0.15,0.3,0.33,87.0616,63.8573,68.2272,0.884391,0.660323,0.620133
A11,49.02,43.64,33.22,71.99,19.79,4.04,20.2,11.53,0.22,0.43,0.4,0.34,0.15,0.16,0.15,0.18,0.22,93.7327,62.3563,67.8941,0.998868,0.647717,0.673551
A12,49.98,42.43,31.3,71.16,25.95,5.51,26.53,11.98,0.2,0.47,0.42,0.34,0.18,0.22,0.15,0.22,0.28,98.8641,60.3483,67.0129,0.991897,0.741499,0.778033
A13,75.5,78.68,67.64,91.09,-0.74,-2.54,2.65,253.82,0.11,0.1,0.09,0.11,0.08,0.08,0.11,0.09,0.1,99.9833,99.6251,99.9553,0.250742,0.689712,0.389515
A14,76.4,78.97,67.65,91.22,0.52,-2.32,2.38,282.61,0.1,0.1,0.09,0.1,0.17,0.19,0.17,0.11,0.12,99.999,99.9555,99.986,0.0450973,0.721959,0.430563
A15,76.27,79.2,65.56,91.33,-0.21,-0.19,0.28,223.3,0.1,0.1,0.11,0.1,0.11,0.12,0.15,0.11,0.14,99.9992,99.6383,99.3778,0.0344694,0.493145,0.836364
A16,76.23,78.98,66.13,91.23,0.15,-0.9,0.91,279.77,0.1,0.1,0.1,0.1,0.16,0.16,0.16,0.14,0.16,99.9988,99.8744,99.9251,0.0478741,0.676858,0.625533
A17,75.45,77.86,64.75,90.72,0.77,-0.47,0.91,328.61,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.13,99.9992,98.8377,98.3196,0.280064,0.97102,0.874363
A18,75.27,78.57,65.53,91.04,-0.99,-0.66,1.19,213.53,0.11,0.1,0.11,0.11,0.09,0.09,0.22,0.15,0.17,99.9698,99.3768,98.9191,0.387647,0.659616,0.834704
A19,75.73,78.5,67.57,91.01,0.07,-2.61,2.61,271.45,0.11,0.1,0.09,0.11,0.15,0.18,0.12,0.1,0.12,99.8633,98.1154,99.3903,0.551617,0.931909,0.772777
A20,1.57,1.22,0.82,10.73,11.47,3.14,11.89,15.34,1.66,2.08,1.96,1.86,0.02,0.01,0.02,0.31,0.38,23.8198,19.6105,23.4597,1.0152,1.53657,1.64059
A21,5.78,3.7,0.88,22.67,28.99,22.64,36.79,37.99,1.03,1.82,1.92,1.34,0.06,0.03,0.02,0.48,0.58,38.2257,18.0303,19.7176,0.493426,0.666608,0.759015
A22,11.02,6.32,0.94,30.22,43.46,34.63,55.56,38.55,0.74,1.75,1.89,1.08,0.08,0.05,0.02,0.33,0.43,53.4734,18.4167,19.9405,0.568092,0.540862,0.626879
