,R,G,B,LAB_L,LAB_A,LAB_B,LAB_L_m,LAB_A_m,LAB_B_m,LAB_L_c,LAB_A_c,LAB_B_c,LAB_dE
0,69.325312,44.323584,56.06528,21.69,11.68,2.2,21.5376,12.8,-9.34,20.3263012935,7.49358088165,1.86414619784,4.41571930415
1,82.612736,39.091456,52.469248,21.27,24.4,5.03,22.0596,21.05,-5.62,19.9280335111,15.5576586806,4.45328223344,8.96216923785
2,95.401472,34.14784,48.288256,20.78,35.65,8.13,23.0804,28.35,-0.72,20.4260364343,22.9205046613,8.42586643106,12.7378522023
3,100.2944,33.564928,49.11744,21.76,37.43,8.38,23.904,30.5,-0.06,21.2783380617,25.1255511715,7.93861068919,12.3217808664
4,121.271296,74.157824,88.251392,41.61,15.1,2.89,37.3252,20.85,-8.72,38.2799118089,14.8362621203,2.76091449464,3.34300883892
5,145.511168,68.315648,85.389312,41.68,28.52,6.95,39.4132,33.1,-3.32,39.4442779356,27.0426839874,7.15910328478,2.68786903219
6,169.57056,60.372992,82.036736,41.38,42.34,10.67,41.8144,45.05,2.92,41.1763534481,40.6632430773,12.9231491699,2.81596641989
7,194.85824,52.305152,80.576256,40.46,59.7,14.7,45.1552,56.0,9.16,44.2068233568,55.4666091879,19.3467672644,7.31797301476
8,204.6912,167.708672,175.078144,72.38,6.16,1.02,72.1832,12.8,-13.28,71.128939122,6.87142903034,1.63104140899,1.56353963465
9,222.877696,163.474688,174.661632,72.12,13.47,2.47,72.972,21.6,-11.66,71.6769475797,14.3840695507,3.31990682987,1.32444713372
10,239.955712,159.632128,173.808896,71.99,19.79,4.04,73.9232,29.7,-9.54,72.4402769975,21.7277046272,5.47806879443,2.45468744534
11,253.092096,154.491648,171.553024,71.16,25.95,5.51,74.2828,36.75,-7.46,72.7534810857,28.7509695737,7.57588436005,3.8278571959
12,255.957248,255.040256,255.885568,91.09,-0.74,-2.54,100.1044,-1.95,-19.72,91.0000444808,-5.3173630262,-2.56704762164,4.57832675143
13,255.99744,255.88608,255.96416,91.22,0.52,-2.32,100.3132,-2.35,-19.46,91.1208126477,-5.6336930747,-2.44137560311,6.15568912677
14,255.997952,255.074048,254.407168,91.33,-0.21,-0.19,100.0812,-2.2,-18.92,90.9961954479,-5.43839500229,-2.08728694159,5.57200480238
15,255.996928,255.678464,255.808256,91.23,0.15,-0.9,100.2552,-2.25,-19.46,91.0888742396,-5.54720252445,-2.43145050645,5.90113325884
16,255.997952,253.024512,251.698176,90.72,0.77,-0.47,99.5012,-1.6,-18.22,90.674773944,-4.82286513921,-1.58763914059,5.7036219291
17,255.922688,254.404608,253.232896,91.04,-0.99,-0.66,99.8724,-2.05,-18.56,90.8807709989,-5.26493595344,-1.84657468248,4.43941333488
18,255.650048,251.175424,254.439168,91.01,0.07,-2.61,99.0952,-0.35,-20.36,90.409284508,-3.42957412298,-2.83268620036,3.5577334482
19,60.978688,50.20288,60.056832,10.73,11.47,3.14,22.3612,6.15,-11.24,22.4005341828,1.03536044213,0.936818974902,15.8093983897
20,97.857792,46.157568,50.477056,22.67,28.99,22.64,26.1312,22.85,1.9,25.2479265132,17.4202639987,11.7780376174,16.077522292
21,136.891904,47.146752,51.04768,30.22,43.46,34.63,33.126,37.35,11.92,32.3540588949,31.8802181793,21.3642595102,17.7376837588
22,67.003648,45.324544,52.127488,21.68,8.73,6.55,21.3752,10.4,-6.64,20.476108282,5.41779024356,4.61819891127,4.01894814421
23,78.170624,40.666112,44.092928,21.46,18.25,15.68,21.4796,17.05,-0.22,19.7587258384,11.9959425637,9.69846087569,8.81965863769
24,88.627968,36.7424,38.20672,21.28,26.96,25.42,22.1408,23.2,5.38,19.9357530602,17.9772830933,14.9709397716,13.8448207832
25,94.24896,37.003264,37.80992,22.24,29.28,27.04,23.1848,25.35,7.24,21.1341235866,20.0514380555,16.7125030592,13.8941178657
26,125.442048,73.541632,74.849536,41.6,15.13,11.86,37.3716,21.0,0.66,38.517463666,15.3377471901,11.3576335441,3.1301056215
27,148.653056,67.22432,62.330624,41.49,27.4,22.13,39.158,32.55,12.18,39.6648474065,26.4607679277,22.1309053525,2.05264212535
28,173.86624,59.280128,52.285696,41.48,40.82,33.65,41.8376,44.85,23.1,41.9549131728,39.5467885615,33.9053051598,1.38267516553
29,198.020352,51.342336,45.024768,40.6,56.49,48.5,45.074,55.45,32.46,45.170927987,52.7942424849,45.4652003135,6.61528649494
30,206.769152,168.155392,167.427328,72.32,5.53,4.24,72.2992,12.1,-8.48,71.370332936,6.65037911183,5.25524364661,1.7854513571
31,225.72928,164.68224,157.800192,72.32,11.72,9.31,73.146,19.65,-1.2,72.1909406493,13.2197193959,11.3967007581,2.57296222989
32,242.124032,159.76704,148.5952,71.88,17.36,14.7,73.6216,27.35,5.28,72.7599877449,19.8938587454,17.4064069093,3.81044051675
33,255.952384,155.574272,141.96864,71.26,23.09,19.8,74.2132,33.95,10.32,73.4462938227,25.8829255424,22.3952366101,4.39494787536
34,242.226944,252.944896,255.707136,89.38,-4.72,-4.96,98.5964,-5.35,-21.9,89.8248640505,-8.63488900072,-4.40599397729,3.97884186473
35,256.0,239.554048,255.996416,87.95,6.15,-6.21,96.3228,6.05,-25.24,88.6889598843,0.301369094612,-5.53166803197,5.9340272528
36,256.0,254.930432,236.44416,90.77,-0.99,5.38,99.6172,-5.15,-9.48,90.8143844669,-6.6921800465,3.57259723261,5.98193380331
37,242.125312,232.183808,236.152832,85.36,0.2,-1.89,92.924,1.75,-18.98,86.4321598009,-2.6847859506,-1.99636978485,3.07942058685
38,256.0,234.8608,236.333056,87.24,5.25,0.86,94.6756,5.1,-16.42,87.8162578397,0.413975511892,0.14785182213,4.92202813631
39,241.09056,250.008064,235.00928,88.77,-5.97,2.47,97.2624,-7.85,-12.16,89.1139744993,-9.47825167981,1.49940465932,3.65625540963
40,235.923968,231.194368,254.320896,86.06,1.22,-8.9,92.692,3.55,-29.76,86.0085620655,-2.30987829594,-9.11495812172,3.53679143283
41,77.559808,49.583872,57.278208,17.09,18.95,14.46,24.1476,13.1,-6.32,23.8460972308,7.9497024945,4.74538453902,16.1562727309
42,126.501632,47.267072,50.2784,27.76,39.37,31.94,31.2584,33.45,9.72,30.489767032,27.8247485317,19.1454161278,17.4483763136
43,194.456832,113.440256,105.392128,58.73,21.17,19.14,56.558,29.4,7.98,57.439847505,22.5274569035,18.9667763936,1.88074164174
44,73.171456,55.122944,57.243648,26.76,4.43,9.5,25.1568,7.55,-4.94,25.90626805,2.91243182403,6.59036830035,3.39084473823
45,78.424064,52.224256,46.844928,26.83,7.97,18.7,24.7044,10.1,2.14,25.0712641581,5.78623636209,13.0023833148,6.35018198792
46,83.105536,49.477632,36.598528,26.46,12.04,30.94,24.368,12.75,9.26,24.3813730871,8.6279308802,19.7278571319,11.9027330146
47,89.55008,53.302016,37.040128,28.13,12.66,33.08,26.3284,13.4,11.58,26.8300837717,9.33364022674,22.0137470318,11.6282589538
48,162.695168,114.17472,93.467904,56.81,8.81,19.22,52.5444,15.0,9.52,54.4239309598,10.3683656721,19.9195536504,2.93448536239
49,185.04192,108.162816,64.824832,56.42,17.26,38.95,53.4492,25.1,28.9,55.2953454332,19.3352547893,39.9709651988,2.57175042965
50,204.232192,103.418624,43.03232,56.35,25.48,58.97,54.8992,34.3,43.16,56.8262042218,27.2071027842,58.0522153299,2.01295384662
51,213.720064,103.455488,32.859904,56.46,29.88,74.0,56.2448,37.7,49.5,58.2874544299,30.1457952386,67.100231296,7.14262171546
52,223.538432,186.710272,172.817408,77.2,3.76,7.54,78.5864,9.05,-2.66,76.5586819714,4.69651318711,9.70095733054,2.4409183411
53,239.667456,184.425216,152.13184,77.01,7.58,17.63,79.1548,13.7,10.54,77.4306102794,9.24260265173,20.7265800621,3.53976957803
54,252.263424,180.955648,133.701888,76.78,10.78,26.78,79.3288,18.4,21.72,78.0035651203,13.3397618221,31.2882608847,5.32671647393
55,256.0,178.751488,118.498304,76.51,13.94,36.63,78.9924,19.75,30.02,78.0414343151,14.732336764,39.7726973528,3.58463879075
56,210.837504,245.228032,253.72672,86.53,-10.72,-8.89,94.49,-11.6,-27.0,86.8591452193,-15.375499948,-8.4321239468,4.68952735589
57,255.998976,213.571584,255.006208,83.35,14.11,-11.36,90.1168,19.35,-33.76,84.3542195926,10.8610051784,-11.1524036346,3.40698115517
58,256.0,249.34528,204.53504,90.0,-1.92,14.8,97.5524,-7.1,5.54,89.779514929,-6.23770649906,13.5327214136,4.50524118046
59,211.521792,199.069184,205.259776,77.68,0.09,-2.02,81.4168,3.4,-17.94,78.2832822937,-1.33576616213,-1.72226394564,1.57651686735
60,255.999488,203.734272,205.741056,81.82,11.93,4.38,86.486,16.55,-10.46,82.4459527683,9.9412569474,4.94859016457,2.16106699866
61,210.161408,236.475392,203.620864,85.06,-13.32,7.28,90.9288,-16.7,-3.56,84.8637000352,-16.6623951656,6.25052063695,3.50285124982
62,203.73504,202.358784,248.289792,79.16,2.77,-17.19,82.9132,7.6,-41.04,78.75097567,0.0508223398425,-18.149438648,2.91234451418
63,64.944128,49.477632,57.347072,13.79,9.83,9.67,22.512,7.7,-8.94,22.4025809309,2.70599827648,2.850747477,13.093133919
64,187.746048,88.028416,73.241856,50.31,31.47,32.89,49.656,37.45,19.42,50.6042961111,30.7809827842,30.1471585201,2.8433315509
65,204.250368,136.400896,123.862784,65.31,14.62,16.17,63.3788,22.7,5.76,63.9204584645,16.3036215246,17.0329918947,2.34737345286
66,66.30272,56.082944,56.748544,26.65,-0.16,8.75,24.6348,3.8,-5.42,25.7458975915,-0.648379543573,6.50611416161,2.46798286041
67,67.34336,55.097088,45.949184,26.64,-0.5,17.95,24.1476,2.9,1.82,25.3007967186,-0.812600376761,13.3173896858,4.83241789875
68,68.846592,56.864512,35.353088,27.65,-1.31,31.18,24.6348,0.9,10.08,26.235749257,-1.99339195662,21.3760405772,9.92898535065
69,72.3456,60.157696,37.7664,28.21,-1.42,31.66,26.0964,0.8,10.3,28.065970548,-2.05980711329,21.5344198413,10.1467961039
70,159.65824,135.601152,105.274624,62.0,-0.65,18.82,58.008,2.95,9.26,59.9709843834,0.706280174221,19.2621555664,2.48030276945
71,165.609216,135.73376,70.273536,61.81,-1.41,40.0,58.0776,1.75,30.34,60.45163216,1.95525871235,39.7183317128,3.6399816502
72,164.804096,138.5472,45.195776,61.67,-2.88,58.18,58.5184,-1.85,43.66,61.1517249219,1.20945626486,54.9388007192,5.24381868266
73,163.292928,142.876928,28.109056,61.46,-2.47,77.7,59.4464,-5.6,51.06,62.1329710661,-0.602809943091,64.131763077,13.7126343918
74,230.217728,211.96032,189.155328,82.32,-0.59,7.27,85.8132,0.55,-2.12,81.8750121231,-2.2177986492,9.35404716943,2.68160311332
75,238.999296,211.87456,161.977088,82.22,-0.6,19.07,85.9988,0.2,13.88,82.410083942,-1.5156604413,21.6660510066,2.75935622519
76,242.844672,212.30592,138.127104,82.06,-1.58,29.81,86.0568,-1.2,27.42,82.7439467152,0.81825333651,33.4751534682,4.43314246565
77,245.091584,208.843264,68.710144,80.54,-1.28,68.93,84.6764,-3.5,60.38,82.419554727,3.29797505761,72.6443605466,6.18765350272
78,183.022848,238.63552,251.649792,83.66,-15.98,-12.65,91.0564,-16.8,-31.04,84.4571608717,-21.6352323866,-11.5682755638,5.81267980861
79,255.888896,190.15552,250.428672,78.63,22.08,-16.33,84.6184,30.85,-39.26,80.0138890513,21.8729652902,-15.7734142806,1.50592162491
80,256.0,242.225664,173.788928,88.99,-2.21,24.92,95.2208,-7.5,19.54,88.5823820574,-4.62108079009,24.4321412668,2.49348533323
81,184.164608,170.651648,176.022528,70.15,0.27,-1.15,71.1044,4.0,-15.66,70.3808092749,-0.737995252013,-0.541294935107,1.1999371673
82,255.9104,176.096768,176.601856,76.3,18.52,8.44,79.4332,27.1,-3.24,77.2918360744,19.2281050993,10.7821884403,2.64026482003
83,183.417088,223.017984,174.311936,81.13,-19.81,12.92,84.978,-23.9,4.74,80.8673420048,-23.2032781362,11.6958219896,3.61689611868
84,177.324032,177.644544,241.936896,72.35,4.96,-24.79,74.5032,11.8,-50.2,71.9727010882,3.20109395505,-26.8763557455,2.75481128947
85,144.632832,73.605632,67.712512,40.41,26.02,29.03,39.9932,28.0,9.5,40.8962595995,21.9687905353,19.5847144683,10.2889341187
86,153.452288,113.444096,104.61568,54.81,7.23,13.16,51.5468,13.05,0.88,53.4081398505,8.21041582868,12.2322670465,1.9460512606
87,209.020672,151.637248,132.886784,69.2,10.25,16.83,67.7172,17.25,6.16,67.8670400359,11.7849846388,17.2114439072,2.06844375355
88,61.551616,57.727744,56.95872,26.84,-4.7,9.09,24.658,0.65,-5.6,26.1993800325,-4.00448280153,6.65216281444,2.61480176292
89,56.213248,57.47328,44.983808,26.67,-10.27,18.02,23.7068,-3.95,1.72,25.6458497788,-7.08645998186,13.8320128911,5.35938865425
90,52.345088,61.462016,35.020032,28.11,-15.63,30.29,24.484,-10.0,9.76,27.426352705,-11.9919988051,21.8378501678,9.22720234433
91,50.742016,59.585792,35.304704,26.68,-15.14,28.48,23.7068,-9.55,8.56,26.3941939368,-11.7493983066,20.7094628129,8.48287174989
92,98.469888,97.471744,79.840512,46.57,-8.0,12.62,40.956,-4.1,1.68,44.5941800921,-6.57274888412,13.2209686197,2.51039306445
93,91.088128,101.26848,59.545088,46.54,-15.66,26.86,41.072,-12.6,14.94,45.5210208976,-12.8429611875,25.3976581152,3.33353714102
94,82.081024,106.804224,42.753536,46.65,-23.33,41.28,41.9188,-21.5,25.84,47.0345120906,-20.2512925748,36.0701529966,6.06372779374
95,73.055488,114.029824,30.257408,46.68,-29.23,54.71,43.5892,-29.95,33.74,49.1311839975,-28.6619491326,44.0468599817,10.9559819199
96,178.698496,174.44736,156.679936,72.08,-4.63,6.63,71.1624,-3.4,-3.96,70.8158557383,-5.52428393741,7.8470962135,1.96955011815
97,175.7952,177.79712,140.473856,71.93,-8.35,14.62,71.4756,-8.85,6.14,71.3052858964,-8.91545308462,15.3334772415,1.10410809089
98,170.904064,182.666496,124.516096,72.09,-13.32,22.93,72.1252,-15.5,16.3,71.9846002024,-13.3674220372,23.1073315346,0.211670593402
99,147.448064,189.485824,80.253184,70.85,-25.96,47.33,71.8468,-32.9,39.84,71.8882583119,-27.8720231981,44.0477507693,3.93788941499
100,152.439296,227.10656,248.97152,80.28,-21.36,-16.99,86.2888,-19.75,-36.72,81.2442581542,-26.344135025,-15.6861102843,5.24132846961
101,249.332736,166.688768,243.392768,73.67,30.07,-20.98,78.5864,39.95,-44.24,74.7708297608,32.6083772622,-21.0701924102,2.76827021049
102,256.0,233.844224,144.760832,87.85,-1.86,35.52,92.6804,-6.4,32.18,87.2512021841,-2.10764591499,36.3939792728,1.08799223019
103,157.490688,143.050752,148.452608,61.95,0.05,-0.76,60.8152,4.75,-13.82,61.8808160376,-0.0422073329369,0.415102903194,1.18074359875
104,249.703168,148.921088,148.54272,70.61,25.08,12.94,72.16,35.8,3.48,71.3639381589,27.8285498247,16.4065890586,4.48778214573
105,156.39936,206.92736,145.574912,76.55,-26.27,18.14,78.3196,-29.8,12.02,76.3404774402,-29.4214760381,17.3345640563,3.25951345772
106,149.643776,152.57472,231.92832,65.1,7.28,-32.29,65.6872,15.75,-57.94,64.3710515972,6.68354033294,-35.7844501032,3.61915893992
107,203.321344,80.286208,49.001984,49.41,40.39,62.24,50.3868,45.6,35.7,51.5381862108,39.1850545699,49.2720467818,13.1965480602
